,index,Utterance,Label,translated
0,0,अरे बाबा केशू जी।,non-humor,Hey Baba Keshu ji
1,1,डॉल के अलावा माँ और कौन हो सकती है,non-humor,Mother and who can be besides doll
2,2,वॉट,humor,Watch
3,3,या,non-humor,or
4,4,प्रेमा जी,non-humor,Prema ji
5,5,या,non-humor,or
6,6,प्रेमा शालिनी,non-humor,Prema Shalini
7,7,या,non-humor,or
8,8,अकु बाई प्रेमा जी माँ बनने वाली हैं,humor,Aku Bai Prema is going to be a mother
9,9,या कोकी जी। और मैं  मैं भी बाप बनने वाला हूँ,humor,Or Koki jiAnd I'm also going to be a father
10,10,यू नो चिंटू,non-humor,U no chintu
11,11,आपके पापा की तरह मैं भी पापा बनने वाला हूँ,humor,"Like your father, I am going to be a father"
12,12,यह सच है मम्मी,non-humor,This is true mom
13,13,हाँ।,non-humor,Yes.
14,14,दिलरुबा अंकल अब पापा  बनने वाले हैं।,non-humor,Diliruba Uncle is now going to be a father.
15,15,लेकिन मेरे लिए तो एक ही पापा काफी है।,humor,But for me the same papa is quite.
16,16,गधे ये अपने बच्चे का बाप बनेगा,humor,Ass will be your child's father
17,17,केशू,non-humor,Keshu
18,18,मतलब बनेंगे।,non-humor,I mean
19,19,ओ मैं तो समझा मुझे दो दो  पापा मिलेंगे।,humor,O I understand two two papa.
20,20,एक ऑफिस जाने के लिए और एक खाना बनाने के लिए।,humor,To go to an office and to make a meal.
21,21,क्या,non-humor,What
22,22,चुप रहो दफा हो जाओ,humor,Get silent
23,23,अभी जाओ,non-humor,Go now
24,24,दिलरुबा जी।,non-humor,Diliruba ji
25,25,हाँ,non-humor,Yes
26,26,हमारी तरफ से आपको लाख लाख  शुभकामनाएं,non-humor,Million lakh best wishes to us
27,27,थैंक्यू कोकी जी। थैंक्यू।,non-humor,Thank you Koki jiThanks
28,28,मुझे थोड़ा जाना है। बहुत काम है यू नो।,non-humor,I have to go a little bit.There is a lot of work u
29,29,डायपर वगैरह।,humor,Diaper etc.
30,30,अभी से ही,humor,Right now
31,31,नहीं नहीं खरीदने।,humor,Do not buy
32,32,अच्छा।,non-humor,Good.
33,33,कोकी जी मैं बाप बन गया,humor,Koki ji became a father
34,34,बाय साला मैं तो मैं तो बाप बन गया,non-humor,"I am a father, I became a father"
35,36,प्रेमा जी,humor,Prema ji
36,37,टोटो तुम,non-humor,Toto you
37,38,प्रेमा जी प्रेमा जी आपने नाटक शुरु कर दिया ना।,non-humor,Prema ji Prema ji you started playing
38,39,हाँ सुबह से ही।,non-humor,Yes from the morning
39,40,अब तक तो पूरे मोहल्ले में बात फैल गई है।,humor,"So far, it has spread to the whole neighborhood."
40,41,सुपब प्रेमा जी  फनटैस्टिक।,non-humor,Sappee Prema G Funatight
41,42,ये देखिए मैं आपके लिए क्या लाया हूं।,non-humor,See what I have brought for you.
42,43,क्या,non-humor,What
43,44,अपे ये पेट के टाइप्स हैं।,non-humor,It is a typical type.
44,45,ये देखिए तीन महीने का पेट।,humor,See this three-month stomach.
45,46,ये देखिए छह महीने का पेट।,non-humor,See this six-month stomach.
46,47,और ये देखिए ,non-humor,And see this
47,48,औ नौ महीने का पेट।,humor,And nine months of stomach.
48,49,ओ  थैंक्यू सो मच टोटो।,non-humor,O Thanks So Much Toto
49,50,प्रेमा जी एक डायरेक्टर पॉइन्ट ऑफ व्यू से बता रहा  हूं इनमें से एक आप  ट्राई कर लो।,non-humor,Prema ji is telling a director Point of View One of these you try.
50,51,ट्राई करलुं,non-humor,Try
51,52,हाँ।,non-humor,Yes.
52,53,अब रिहर्सल हो जाएगी ना।,non-humor,Now there will be rehearsal
53,54,ओके यू आर द डायरेक्टर।,humor,OK UR The Director
54,55,हा हा या। ऑल द बेस्ट प्रेमा जी।,non-humor,Ha ha orAll the Best Prema G.
55,56,आई नो यू विल डू इट।,non-humor,I Know You Will Do It
56,57,अरे,humor,Oho
57,58,तुम,humor,You
58,59,तुम यहां,humor,You here
59,60,कैसे हो,humor,How are you
60,61,ठीक हूं। तुम कैसे हो,humor,I am fine!How are you
61,62,मैं ठीक नहीं हूँ।,humor,I am not good.
62,63,वेरी गुड।,humor,very good.
63,64,क्यों आए हो,non-humor,Why have you come
64,65,प्रेमा जी से मिलने।,non-humor,Meet Prema ji
65,66,प्रेमा जी बिजी हैं। बाद में आना।,non-humor,Prema ji is busy.come later.
66,67,क्या हमममम हममम हममम।,humor,Hmmmmmamamamamamamamamam
67,68,मैं प्रेमा जी को बधाई देने आया हूं।,non-humor,I have come to congratulate Prema ji.
68,69,किस बात की,non-humor,What about
69,70,अभी अभी पता चला है कि प्रेमा जी माँ बन गई हैं।,humor,Right now it has come to know that Prema has become a mother.
70,71,क्या,humor,What
