,index,Utterance,Label
0,0,अरे बाबा! केशू जी।,non-humor
1,1,डॉल के अलावा माँ और कौन हो सकती है?,non-humor
2,2,वॉट!,humor
3,3,या!,non-humor
4,4,प्रेमा जी?,non-humor
5,5,या!,non-humor
6,6,प्रेमा शालिनी?,non-humor
7,7,या!,non-humor
8,8,अकु बाई प्रेमा जी माँ बनने वाली हैं!,humor
9,9,"या, कोकी जी। और मैं .. मैं भी बाप बनने वाला हूँ!",humor
10,10,"यू नो, चिंटू",non-humor
11,11,आपके पापा की तरह मैं भी पापा बनने वाला हूँ!,humor
12,12,"यह सच है, मम्मी",non-humor
13,13,हाँ।,non-humor
14,14,दिलरुबा अंकल अब पापा  बनने वाले हैं।,non-humor
15,15,लेकिन मेरे लिए तो एक ही पापा काफी है।,humor
16,16,गधे! ये अपने बच्चे का बाप बनेगा!,humor
17,17,केशू!,non-humor
18,18,मतलब बनेंगे।,non-humor
19,19,ओ! मैं तो समझा मुझे दो दो  पापा मिलेंगे।,humor
20,20,एक ऑफिस जाने के लिए और एक खाना बनाने के लिए।,humor
21,21,क्या!,non-humor
22,22,चुप रहो! दफा हो जाओ..,humor
23,23,अभी जाओ!,non-humor
24,24,दिलरुबा जी।,non-humor
25,25,हाँ?,non-humor
26,26,हमारी तरफ से आपको लाख लाख  शुभकामनाएं!,non-humor
27,27,"थैंक्यू, कोकी जी। थैंक्यू।",non-humor
28,28,"मुझे थोड़ा जाना है। बहुत काम है, यू नो।",non-humor
29,29,डायपर वगैरह।,humor
30,30,अभी से ही?,humor
31,31,नहीं नहीं.. खरीदने।,humor
32,32,अच्छा।,non-humor
33,33,"कोकी जी, मैं बाप बन गया!",humor
34,34,बाय! साला मैं तो! मैं तो बाप बन गया!,non-humor
35,36,प्रेमा जी!,humor
36,37,टोटो तुम!,non-humor
37,38,"प्रेमा जी, प्रेमा जी आपने नाटक शुरु कर दिया ना।",non-humor
38,39,"हाँ, सुबह से ही।",non-humor
39,40,अब तक तो पूरे मोहल्ले में बात फैल गई है।,humor
40,41,"सुपब प्रेमा जी , फनटैस्टिक।",non-humor
41,42,ये देखिए मैं आपके लिए क्या लाया हूं।,non-humor
42,43,क्या?,non-humor
43,44,अपे ये पेट के टाइप्स हैं।,non-humor
44,45,"ये देखिए, तीन महीने का पेट।",humor
45,46,ये देखिए छह महीने का पेट।,non-humor
46,47,और ये देखिए ..,non-humor
47,48,औ नौ महीने का पेट।,humor
48,49,"ओ .. थैंक्यू सो मच, टोटो।",non-humor
49,50,"प्रेमा जी, एक डायरेक्टर पॉइन्ट ऑफ व्यू से बता रहा  हूं, इनमें से एक आप  ट्राई कर लो।",non-humor
50,51,ट्राई करलुं?,non-humor
51,52,हाँ।,non-humor
52,53,अब रिहर्सल हो जाएगी ना।,non-humor
53,54,"ओके, यू आर द डायरेक्टर।",humor
54,55,"हा हा या। ऑल द बेस्ट, प्रेमा जी।",non-humor
55,56,आई नो यू विल डू इट।,non-humor
56,57,अरे!,humor
57,58,तुम!,humor
58,59,तुम! यहां?,humor
59,60,कैसे हो?,humor
60,61,ठीक हूं। तुम कैसे हो?,humor
61,62,मैं ठीक नहीं हूँ।,humor
62,63,वेरी गुड।,humor
63,64,क्यों आए हो?,non-humor
64,65,प्रेमा जी से मिलने।,non-humor
65,66,प्रेमा जी बिजी हैं। बाद में आना।,non-humor
66,67,क्या हमममम हममम हममम।,humor
67,68,मैं प्रेमा जी को बधाई देने आया हूं।,non-humor
68,69,किस बात की?,non-humor
69,70,अभी अभी पता चला है कि प्रेमा जी माँ बन गई हैं।,humor
70,71,क्या!,humor
71,72,"मतलब, माँ बनने वाली है।",non-humor
72,73,स्टूपिड!,non-humor
73,74,प्रेमा जी को बुलाओ।,non-humor
74,75,प्रेमा जी अंदर सो रही हैं।,non-humor
75,76,बाद में आओ।,non-humor
76,77,क्या कर रहे हो।,humor
77,78,मैं जा रहा हूँ..,humor
78,79,प्रेमा जी। प्रेमा जी!,humor
79,80,"हैलो, केशू जी!",non-humor
80,81,"हैलो, प्रेमा जी ।।",humor
81,82,"प्रेमा जी, दिलरुबा जी ने बताया कि आप माँ बनने वाली हैं।",humor
82,83,"तो, मैंने सोचा चल के बधाई दे दूं।",non-humor
83,84,हाँ थैंक्यू!,non-humor
84,85,मेंशन नॉट .. मेंशन नॉट!,humor
85,86,"लगता है दिलरुबा जी को देर से पता चला, नही?",humor
86,87,क्या!,non-humor
87,88,"एनी वेज़, कॉगरेचूलेशन्स।",non-humor
88,89,थैंक्यू!,non-humor
89,90,इन्हें क्या हुआ?,non-humor
90,91,वैसे तो फस्ट टेक ओके हो गया,non-humor
91,92,पर प्रॉबलम ये है कि  क्लाइमेक्स का शॉट पहले हो गया।।,humor
92,94,"क्या से क्या हो गया, गोखले ।।",humor
93,95,कल कुछ भी नहीं था,humor
94,96,और आज ..,humor
95,97,कुलकर्णी।,non-humor
96,98,औरतों का यही होता है।,non-humor
97,99,देखते देखते मां बन जाती हैं,non-humor
98,100,और हम देखते ही रह जाते हैं।,humor
99,101,"मुझे तो औरतों से विश्वीस उठ गया है, गोखले।",humor
100,102,"मैं तुम्हारा दर्द समझ सकता हूं, कुलकर्णी।",non-humor
101,103,यू नो गोखले?,non-humor
102,104,"वॉट, कुलकर्णी?",non-humor
103,105,मुझे सारी औरते होने वाली माँ नजर आ रही हैं।,humor
104,106,"देखो, गोखले! देखो!",humor
105,107,सारी औरतें होने वाली माँ नजर आ रही हैं।,humor
106,108,"कुलकर्णी .. लगता है तुझे बहुत बड़ा सदमा लगा है, मेरे दोस्त।",non-humor
107,109,देख ..,non-humor
108,110,"कुलकर्णी, तेरा सिर फिर गया।",non-humor
109,111,"यू आर राइट, गोखले।",humor
110,113,कोकी जी।,humor
111,114,अरे दिलरुबा जी! आइए।,non-humor
112,115,आ मैंने बैठने के लिए नहीं कहा।,humor
113,116,"ओह, सॉरी।",non-humor
114,117,बैठिए.. कैसे आना हुआ?,humor
115,118,एकदम दड़ाम से।,humor
116,119,आ?,non-humor
117,120,"मेरा मतलब, आराम से।",non-humor
118,121,कुछ काम था?,non-humor
119,122,दरअसल बात ये है कि मुझे आपकी सलाह  चाहिए थी।,non-humor
120,123,स्वेटर बुनने में?,humor
121,124,वो तो चाहिए ही..,non-humor
122,125,वो क्या है कि प्रेगनेन्सी में हमें क्या क्या सावधानी बरतनी चाहिए उसके बारे में।,non-humor
123,126,अरे बाबा! ये सब मैं नहीं जाननती।,non-humor
124,127,एक काम करो।,non-humor
125,128,क्या क्या?,humor
126,129,"सबसे पहले, शांत रहो।",humor
127,130,"उसके बाद डॉक्टर से सलाह से, मुझसे नहीं।",non-humor
128,131,डॉक्टर से नहीं। मुझे आपकी जरुरत है।,humor
129,132,क्या!,non-humor
130,133,"मतलब, आपके ऐडवाइस की जरुरत है।",non-humor
131,134,यू ऐक्सपीरिएन्स्ड नो।,non-humor
132,135,तीसरे महीने में क्या क्या सावधानियां बरतनी चाहिए?,non-humor
133,136,"उसे भी, और मुझे भी।",humor
134,138,"बहुत इम्पॉर्टेंट सीन है, प्रेमा जी।",non-humor
135,139,बहुत इम्पॉर्टेंट सीन ..,non-humor
136,140,अरे! ऐ डायरेक्टर!,non-humor
137,141,ई का हो रहा है? ई का हो रहा है?,non-humor
138,142,तुम बुरबक आदमी है का? अबे नौ बजे के शिफ्ट में।,non-humor
139,143,11:30 बज रहा हैं तुम रोल नहीं किया है!,non-humor
140,144,"अरे, जल्दी से हांथ लगा!",non-humor
141,145,".. सॉरी, सर सॉरी।",non-humor
142,146,चिंता मत कर।,non-humor
143,147,चलो रेडी! रोल साउंड!,non-humor
144,148,रोल कैमरा! ऐक्शन!,non-humor
145,149,ऐ बहू!,non-humor
146,150,"जी, माँ जी?",non-humor
