,Utterance,Label
0,Hey Baba Keshu ji,non-humor
1,besides doll who else can mom be,non-humor
2,What,humor
3,Ya,non-humor
4,Prema ji,non-humor
5,Ya,non-humor
6,Prema Shalini,non-humor
7,Ya,non-humor
8,oh man! Prema is going to be a mother,humor
9,Yes Koki ji. And I'm also going to be a father,humor
10,You know chintu,non-humor
11,"Like your father, I am going to be a father",humor
12,This is true mom,non-humor
13,Yes.,non-humor
14,Diliruba Uncle is now going to be a father.,non-humor
15,But for me one papa is enough.,humor
16,"Ass, he will be his own child's father",humor
17,Keshu,non-humor
18,I mean they will become.,non-humor
19,Oh I understand I will get two-two papas.,humor
20,To go to an office and to make a meal.,humor
21,What,non-humor
22,Stay silent,humor
23,Go now,non-humor
24,Diliruba ji,non-humor
25,Yes,non-humor
26,Million lakh best wishes to us,non-humor
27,Thank you Koki ji. Thank you.,non-humor
28,I have to go for a little bit.There is a lot of work you know,non-humor
29,Diaper etc.,humor
30,From now already,humor
31,No not to but,humor
32,Good.,non-humor
33,Koki ji I became a father,humor
34,"Bye I, I became a father",non-humor
35,Prema ji,humor
36,Toto you,non-humor
37,Prema ji Prema ji you started drama na.,non-humor
38,Yes from the morning,non-humor
39,"So far, it has spread to the whole neighborhood.",humor
40,Superb Prema G fantastic,non-humor
41,See what I have brought for you.,non-humor
42,What,non-humor
43,These are types of stomach.,non-humor
44,See this three-month stomach.,humor
45,See this six-month stomach.,non-humor
46,And see this,non-humor
47,And nine months of stomach.,humor
48,Oh Thanks So Much Toto,non-humor
49,Prema ji Im speaking from a director's Point of View. You try one from these.,non-humor
50,I should try?,non-humor
51,Yes.,non-humor
52,Now there will be rehearsal,non-humor
53,OK you are The Director,humor
54,Ha ha yes. all the Best Prema ji.,non-humor
55,I Know You Will Do It,non-humor
56,Oho,humor
57,You,humor
58,You here?,humor
59,How are you?,humor
60,I am fine! How are you,humor
61,I am not good.,humor
62,very good.,humor
63,Why have you come,non-humor
64,To meet Prema ji.,non-humor
65,Prema ji is busy.come later.,non-humor
66,What us us us?,humor
67,I have come to congratulate Prema ji.,non-humor
68,For what reason?,non-humor
69,Right now I have come to know that Prema has become a mother.,humor
70,What,humor
71,You mean she is about to be a mother.,non-humor
72,Stupid.,non-humor
73,Call Prema ji.,non-humor
74,Prema ji is sleeping inside.,non-humor
75,Come later.,non-humor
76,What are you doing.,humor
77,I am going,humor
78,Prema ji.Prema ji.,humor
79,Hello Keshu ji,non-humor
80,Hello Prema ji ..,humor
81,Prema ji Diliruba ji said that you are going to be a mother.,humor
82,So I thought I'd come and give my congratulations.,non-humor
83,Yes thank you,non-humor
84,Mention Not mention Not,humor
85,Looks like Dilruba ji did not know late,humor
86,What?,non-humor
87,Anyways congratulations.,non-humor
88,Thank you.,non-humor
89,What happened to them?,non-humor
90,"By the way, first take went ok",non-humor
91,but the problem is that the climax shot got done first.,humor
92,What happened to Gokhale ..,humor
93,There was nothing tomorrow,humor
94,and today?,humor
95,Kulkarni.,non-humor
96,This is what happens of women.,non-humor
97,Just watching them and they become mothers.,non-humor
98,And we keep watching.,humor
99,I have lost faith in women. Gokhale,humor
100,I can understand your pain Kulkarni.,non-humor
101,You know Gokhale,non-humor
102,What Kulkarni,non-humor
103,I see all women as about to be mothers.,humor
104,Look Gokhale look,humor
105,All women are seen to be expectant mothers.,humor
106,Kulkarni looks like you are in a big shock my friend.,non-humor
107,See!,non-humor
108,Kulkarni your head turned again.,non-humor
109,You are right Gokhale.,humor
110,Koki ji,humor
111,"Oh Diliruba ji, come in.",non-humor
112,Ah I did not tell you to sit.,humor
113,Oh sorry,non-humor
114,"Sit, how come you're here?",humor
115,Right away.,humor
116,Come,non-humor
117,I mean comfortably,non-humor
118,I had some work,non-humor
119,Actually the thing is that I wanted your advice.,non-humor
120,In knitting a sweater.,humor
121,That you must.,non-humor
122,The thing is that what precautions should we take during pregnancy?,non-humor
123,Hey Baba I do not know all this.,non-humor
124,do one thing.,non-humor
125,What? What?,humor
126,Stay calm first.,humor
127,After that seek advice from the doctor not me.,non-humor
128,Not with the doctor. I need you.,humor
129,What,non-humor
130,Meaning I need your advice.,non-humor
131,You're experienced no.,non-humor
132,What precautions should be taken in the third month?,non-humor
133,By him and by me too.,humor
134,This is a very important scene Prema ji,non-humor
135,Very important scene,non-humor
136,Hey! Ay! Director,non-humor
137,What is going on? What is going on?,non-humor
138,You are an idiot that you in shift at 9 o'clock.,non-humor
139,It is 11:30 and you have not yet rolled,non-humor
140,Hey do it quickly.,non-humor
141,Sorry sir sorry,non-humor
142,Do not worry.,non-humor
143,Let's go ready roll sound,non-humor
144,Roll camera action,non-humor
145,Ay daughter-in-law,non-humor
146,Yes mother yes,non-humor
147,"These buckets are kept here, go keep them in the bathroom.",non-humor
148,And it is the time for their bath.,non-humor
149,Mother I am in such a situation ..,humor
150,Why what is it in such a condition?,non-humor
151,If you pick one bucket up then you will not die.,non-humor
152,They are making Prema ji get a heavy bucket filled with water.,non-humor
153,In this situation?,non-humor
154,You brute!,humor
155,Prema ji Prema ji I am coming. Prema ji,humor
156,Prema ji Prema ji ..,humor
157,Prema ji I have come. Prema ji,humor
158,Ah cut it cut it,non-humor
159,Hey man you came again in the middle.,non-humor
160,You ruined the whole shooting,non-humor
161,Are you the director or the devil?,humor
162,Making a pregnant lady carry a heavy bucket of water?,non-humor
163,Hey Stupid This is Shooting.All is fake,non-humor
164,Hey stupid bucket and water is still real no,humor
165,Aye Aye,non-humor
166,"Hey, who are you? Who are you?",non-humor
167,And what's all this going on?,non-humor
168,"First you tell me, who are you?",humor
169,What?,humor
170,"You are asking us, on our set?",non-humor
171,That who are we?,humor
172,Hey we are the maker of this picture,non-humor
173,I am the maker.Producer producer,non-humor
174,Sorry. Sorry maker,humor
175,Well okay right it's okay. brother,non-humor
176,Well you tell me why you've entered in the middle of the shot.,non-humor
177,"Maker ji, this- this prema ji is going to be a mother.",humor
178,She's carrying such a heavy bcket loaded with water.,non-humor
179,We thought we would help.,non-humor
180,Hey king why don't you understand,non-humor
181,Shooting of a picture is going on.Shooting of a picture.,non-humor
182,"And in the beam of the scene, Prema ji has become a fake mother.",non-humor
183,These are going to be a mother in real life.,non-humor
184,"Director, This man is speaking",non-humor
185,"Yes, they are right.",non-humor
186,She is three-months pregnant.,non-humor
187,But what do I say?,non-humor
188,Four reels have been printed.,non-humor
189,Only six left. I'll print that too.,non-humor
190,Picture over.,non-humor
191,Hey damn fool idiot Director,humor
192,"We gave you a break, you will sit our cards",humor
193,Oh my thirteenth mind will be our thirteenth will be re,non-humor
194,Hey we have been looted brother,humor
195,We will be ruined,humor
196,My dear little baby,humor
197,very soon company will come for you,non-humor
198,Doll My God What Are You doing,non-humor
199,What am I doing? I'm not doing anything.,non-humor
200,what is this way? To become a mother,non-humor
201,You Know,humor
202,"You should take it easy, no",non-humor
203,I want to eat some sweet food.,humor
